Leg Type,Leg Origin Airport,Leg Destination Airport,Leg Operating Airline,Origin Airport,Origin City Name,Destination Airport,Destination City Name,Cabin Class,Year,Month,Leg 2,Leg 3,Leg 4,Leg 1 Operating Airline,Leg 2 Operating Airline,Leg 3 Operating Airline,Leg 4 Operating Airline,Passengers,OD Avg. Base Fare(USD),OD Base Revenue(USD),Leg Avg. Base Fare (USD) Stline,Leg Base Revenue (USD) Stline
BEHIND,SIN,PER,SQ,CDG,PARIS,PER,PERTH,Discount Coach,2019,8,SIN,   ,   ,SQ,SQ,  ,  ,218.63,506.65,110769,135.45,29615
BEHIND,SIN,PER,SQ,ZRH,ZURICH,PER,PERTH,Discount Coach,2019,10,SIN,   ,   ,SQ,SQ,  ,  ,216.66,513.98,111358,141.32,30619
BEHIND,SIN,PER,SQ,AMD,AHMEDABAD,PER,PERTH,Discount Coach,2019,6,SIN,   ,   ,SQ,SQ,  ,  ,216.25,332.03,71801,160.92,34798
BEHIND,SIN,PER,SQ,CGK,JAKARTA,PER,PERTH,Discount Coach,2019,4,SIN,   ,   ,SQ,SQ,  ,  ,215.82,353.78,76354,288.51,62266
BEHIND,SIN,PER,SQ,FUK,FUKUOKA,PER,PERTH,Discount Coach,2019,3,SIN,   ,   ,SQ,SQ,  ,  ,215.28,287.25,61839,133.27,28689
BEHIND,SIN,PER,SQ,HYD,HYDERABAD,PER,PERTH,Discount Coach,2019,2,SIN,   ,   ,MI,SQ,  ,  ,214.65,348.62,74831,188.91,40550
BEHIND,SIN,PER,SQ,NGO,NAGOYA,PER,PERTH,Discount Coach,2019,10,SIN,   ,   ,SQ,SQ,  ,  ,214.63,336.57,72238,147.01,31552
BEHIND,SIN,PER,SQ,DAD,DA NANG,PER,PERTH,Discount Coach,2019,3,SIN,   ,   ,MI,SQ,  ,  ,214.34,263.02,56377,183.4,39309
BEHIND,SIN,PER,SQ,CGK,JAKARTA,PER,PERTH,Discount Coach,2019,12,SIN,   ,   ,SQ,SQ,  ,  ,214.11,409.62,87704,334.41,71600
BEHIND,SIN,PER,SQ,AMS,AMSTERDAM,PER,PERTH,Discount Coach,2019,10,SIN,   ,   ,SQ,SQ,  ,  ,213.68,537.91,114940,145.93,31182
BEHIND,SIN,PER,SQ,HAN,HANOI,PER,PERTH,Discount Coach,2019,10,SIN,   ,   ,SQ,SQ,  ,  ,211.14,274.74,58008,175.38,37031
BEHIND,SIN,PER,SQ,BKK,BANGKOK,PER,PERTH,Discount Coach,2019,1,SIN,   ,   ,SQ,SQ,  ,  ,210.42,405.57,85341,297.75,62653
