"Leg Type","Leg Origin Airport","Leg Destination Airport","Leg Operating Airline","Origin Airport","Origin City Name","Destination Airport","Destination City Name","Cabin Class","Year","Month","Leg 2","Leg 3","Leg 4","Leg 1 Operating Airline","Leg 2 Operating Airline","Leg 3 Operating Airline","Leg 4 Operating Airline","Passengers","OD Avg. Base Fare(USD)","OD Base Revenue(USD)","Leg Avg. Base Fare (USD) Stline","Leg Base Revenue (USD) Stline"
"BEHIND","SIN","MEL","SQ","BEG","BELGRADE","MEL","MELBOURNE","Discount Coach","2019","1","ZRH","SIN","   ","JU","SQ","SQ","  ","19.35","602.74","11663","210.48","4073"
"BEHIND","SIN","MEL","EK","PEW","PESHAWAR","MEL","MELBOURNE","Discount Coach","2019","1","DXB","SIN","   ","EK","EK","EK","  ","19.2","856.51","16445","376.24","7224"
"BEHIND","SIN","MEL","EK","SKP","SKOPJE","MEL","MELBOURNE","Discount Coach","2019","1","DXB","SIN","   ","FZ","EK","EK","  ","19.2","635.93","12210","247.8","4758"
"BEHIND","SIN","MEL","QF","CGK","JAKARTA","MEL","MELBOURNE","Discount Coach","2019","1","SIN","   ","   ","3K","QF","  ","  ","19.18","535.16","10264","467.5","8967"
"BEHIND","SIN","MEL","SQ","VIE","VIENNA","MEL","MELBOURNE","Discount Coach","2019","1","FRA","SIN","   ","LH","SQ","SQ","  ","18.9","770.49","14562","274.8","5194"
"BEHIND","SIN","MEL","TR","DPS","DENPASAR BALI","MEL","MELBOURNE","Discount Coach","2019","1","SIN","   ","   ","TR","TR","  ","  ","18.89","261.83","4946","204.92","3871"
"BEHIND","SIN","MEL","EK","KRK","KRAKOW","MEL","MELBOURNE","Discount Coach","2019","1","DXB","SIN","   ","FZ","EK","EK","  ","18.86","762.75","14386","287.83","5428"
"BEHIND","SIN","MEL","SQ","CPH","COPENHAGEN","MEL","MELBOURNE","Discount Coach","2019","1","FRA","SIN","   ","LH","SQ","SQ","  ","18.43","544.84","10041","193.5","3566"
"BEHIND","SIN","MEL","SQ","ZRH","ZURICH","MEL","MELBOURNE","Discount Coach","2019","1","SIN","   ","   ","LX","SQ","  ","  ","18.22","629.22","11464","232.79","4241"
"BEHIND","SIN","MEL","SQ","PRG","PRAGUE","MEL","MELBOURNE","Business","2019","1","FRA","SIN","   ","LH","SQ","SQ","  ","18.18","1616.83","29394","584.38","10624"
"BEHIND","SIN","MEL","EK","DXB","DUBAI","MEL","MELBOURNE","Business","2019","1","SIN","   ","   ","EK","EK","  ","  ","18.11","2409.69","43639","1226.57","22213"
"BEHIND","SIN","MEL","QF","MRS","MARSEILLE","MEL","MELBOURNE","Discount Coach","2019","1","LHR","SIN","   ","BA","QF","QF","  ","18.02","1028.31","18530","346.82","6250"
