Leg Type,Leg Origin Airport,Leg Destination Airport,Leg Operating Airline,Origin Airport,Origin City Name,Destination Airport,Destination City Name,Cabin Class,Year,Month,Leg 2,Leg 3,Leg 4,Leg 1 Operating Airline,Leg 2 Operating Airline,Leg 3 Operating Airline,Leg 4 Operating Airline,Passengers,OD Avg. Base Fare(USD),OD Base Revenue(USD),Leg Avg. Base Fare (USD) Stline,Leg Base Revenue (USD) Stline
BEHIND,SIN,SYD,SQ,WAW,WARSAW,SYD,SYDNEY,Discount Coach,2019,1,ZRH,SIN,   ,LO,SQ,SQ,  ,16.48,564.07,9296,201.34,3318
BEHIND,SIN,SYD,BA,BUD,BUDAPEST,SYD,SYDNEY,Discount Coach,2019,1,LHR,SIN,   ,BA,BA,BA,  ,16.45,500.7,8237,168.77,2776
BEHIND,SIN,SYD,TR,MAA,CHENNAI,SYD,SYDNEY,Discount Coach,2019,1,SIN,   ,   ,TR,TR,  ,  ,16.45,352.78,5803,241.02,3965
BEHIND,SIN,SYD,SQ,FOC,FUZHOU,SYD,SYDNEY,Discount Coach,2019,1,SIN,   ,   ,MI,SQ,  ,  ,16.32,352.18,5748,233.38,3809
BEHIND,SIN,SYD,QF,MAA,CHENNAI,SYD,SYDNEY,Discount Coach,2019,1,DEL,SIN,   ,9W,9W,QF,  ,16.25,406.99,6614,209.83,3410
BEHIND,SIN,SYD,TR,KBV,KRABI,SYD,SYDNEY,Discount Coach,2019,1,SIN,   ,   ,TR,TR,  ,  ,16.2,312.61,5064,272.17,4409
BEHIND,SIN,SYD,BA,TLV,TEL AVIV YAFO BEN GURION,SYD,SYDNEY,Discount Coach,2019,1,LHR,SIN,   ,BA,BA,BA,  ,16.04,501.7,8047,152.17,2441
BEHIND,SIN,SYD,QF,CAI,CAIRO,SYD,SYDNEY,Discount Coach,2019,1,DXB,SIN,   ,EK,EK,QF,  ,15.98,600,9588,259.79,4151
BEHIND,SIN,SYD,SQ,OSL,OSLO,SYD,SYDNEY,Discount Coach,2019,1,CPH,SIN,   ,SK,SQ,SQ,  ,15.93,597.27,9515,224.04,3569
BEHIND,SIN,SYD,QF,MAN,MANCHESTER,SYD,SYDNEY,Discount Coach,2019,1,LHR,SIN,   ,BA,QF,QF,  ,15.87,946.02,15013,342.25,5432
BEHIND,SIN,SYD,SQ,MDL,MANDALAY,SYD,SYDNEY,Discount Coach,2019,1,SIN,   ,   ,MI,SQ,  ,  ,15.77,397.6,6270,286.36,4516
BEHIND,SIN,SYD,QF,PVG,SHANGHAI,SYD,SYDNEY,Business,2019,1,SIN,   ,   ,MU,QF,  ,  ,15.63,1389.47,21717,865.84,13533
BEHIND,SIN,SYD,QF,LYS,LYON,SYD,SYDNEY,Discount Coach,2019,1,LHR,SIN,   ,BA,QF,QF,  ,15.39,748.32,11517,262.32,4037
BEHIND,SIN,SYD,SQ,BHD,BELFAST,SYD,SYDNEY,Discount Coach,2019,1,LHR,SIN,   ,EI,SQ,SQ,  ,15.17,611.85,9282,217.86,3305
BEHIND,SIN,SYD,SQ,XMN,XIAMEN,SYD,SYDNEY,Discount Coach,2019,1,SIN,   ,   ,MI,SQ,  ,  ,15.17,413.83,6278,280.34,4253
BEHIND,SIN,SYD,QF,AMD,AHMEDABAD,SYD,SYDNEY,Discount Coach,2019,1,BOM,SIN,   ,9W,9W,QF,  ,15.14,264.67,4007,156.18,2365
BEHIND,SIN,SYD,BA,LIN,MILAN,SYD,SYDNEY,Discount Coach,2019,1,LHR,SIN,   ,BA,BA,BA,  ,15.08,447.27,6745,154.81,2335
BEHIND,SIN,SYD,SQ,REP,SIEM REAP,SYD,SYDNEY,Business,2019,1,SIN,   ,   ,MI,SQ,  ,  ,15.08,1476.16,22260,1214.87,18320
BEHIND,SIN,SYD,SQ,NGO,NAGOYA,SYD,SYDNEY,Business,2019,1,SIN,   ,   ,SQ,SQ,  ,  ,14.99,1292.74,19378,717.78,10760
BEHIND,SIN,SYD,TR,HYD,HYDERABAD,SYD,SYDNEY,Discount Coach,2019,1,SIN,   ,   ,TR,TR,  ,  ,14.8,482.71,7144,316.7,4687
BEHIND,SIN,SYD,BA,KEF,REYKJAVIK,SYD,SYDNEY,Discount Coach,2019,1,LHR,SIN,   ,BA,BA,BA,  ,14.77,276.92,4090,91.36,1349
BEHIND,SIN,SYD,SQ,ORK,CORK,SYD,SYDNEY,Discount Coach,2019,1,MAN,SIN,   ,RE,SQ,SQ,  ,14.67,632.21,9275,224.89,3299
BEHIND,SIN,SYD,SQ,HND,TOKYO,SYD,SYDNEY,Discount Coach,2019,1,SIN,   ,   ,NH,SQ,  ,  ,14.54,405.09,5890,219.97,3198
BEHIND,SIN,SYD,QF,LUX,LUXEMBOURG,SYD,SYDNEY,Discount Coach,2019,1,LHR,SIN,   ,BA,QF,QF,  ,14.53,432.44,6283,153.71,2233
BEHIND,SIN,SYD,SQ,WAW,WARSAW,SYD,SYDNEY,Discount Coach,2019,1,FRA,SIN,   ,LO,SQ,SQ,  ,14.14,564.24,7978,203.21,2873
BEHIND,SIN,SYD,SQ,CKG,CHONGQING,SYD,SYDNEY,Discount Coach,2019,1,SIN,   ,   ,MI,SQ,  ,  ,14.09,576.04,8116,383.25,5400
BEHIND,SIN,SYD,BA,USM,KOH SAMUI,SYD,SYDNEY,Discount Coach,2019,1,SIN,   ,   ,PG,BA,  ,  ,14.08,328.05,4619,282.37,3976
BEHIND,SIN,SYD,SQ,BLL,BILLUND,SYD,SYDNEY,Discount Coach,2019,1,FRA,SIN,   ,LH,SQ,SQ,  ,14.05,535.31,7521,195.67,2749
BEHIND,SIN,SYD,SQ,CTS,SAPPORO,SYD,SYDNEY,Discount Coach,2019,1,TPE,SIN,   ,TR,TR,SQ,  ,14.02,516.47,7241,265.77,3726
BEHIND,SIN,SYD,BA,LIS,LISBON,SYD,SYDNEY,Discount Coach,2019,1,LHR,SIN,   ,BA,BA,BA,  ,13.98,188.47,2635,63.38,886
BEHIND,SIN,SYD,SQ,AAL,AALBORG,SYD,SYDNEY,Discount Coach,2019,1,CPH,SIN,   ,SK,SQ,SQ,  ,13.9,515.02,7159,196.26,2728
BEHIND,SIN,SYD,QF,BJM,BUJUMBURA,SYD,SYDNEY,Discount Coach,2019,1,ADD,SIN,   ,ET,ET,QF,  ,13.88,458.89,6369,188.97,2623
