"Origin Airport","Destination Airport","Operating Airline","Year","Month","Airline Share","Passengers","PPDEW","Load Factor","ASK (Millions)","RPK (Millions)","OD Avg. Base Fare(USD)","OD Base Revenue(USD)","OD Avg. Total Fare(USD)","OD Total Revenue(USD)","Leg Avg. Base Fare (USD) Stline","Leg Base Revenue (USD) Stline","Leg Avg. Total Fare (USD) Stline","Leg Total Revenue (USD) Stline","Flow Share","Departures","Yield(Cent/KM)","Distance (km)"
"KUL","PER","HT","2019","8","0.01","1.46","0",,"0","0.01","106.97","156","156.35","228","106.97","156","156.35","228","0.22","0","2.58","4139"
"KUL","PER","D7","2019","9","42.14","10434","347.8","93.99","45.95","43.19","24.72","257975","25.85","269756","24.49","255497","25.41","265142","1.91","30","0.59","4139"
"KUL","PER","OD","2019","9","31.37","7766.75","258.9","74.18","43.34","32.15","156.3","1213974","238.17","1849810","102.41","795415","157","1219362","43.75","60","2.47","4139"
"KUL","PER","MH","2019","9","26.48","6556.86","218.6","57.06","47.56","27.14","299.24","1962072","395.95","2596187","186.23","1221062","236.25","1549054","70.66","48","4.5","4139"
"KUL","PER","D7","2019","10","36.93","10781.8","347.8","94","47.48","44.63","26.05","280839","28.75","309983","25.25","272264","27.41","295488","4.69","31","0.61","4139"
"KUL","PER","MH","2019","10","32.73","9554.44","308.2","78.99","50.07","39.55","315.51","3014536","411.56","3932188","202.18","1931753","251.92","2406950","74.51","51","4.88","4139"
"KUL","PER","OD","2019","10","30.33","8853.39","285.6","82.27","44.55","36.65","206.63","1829354","288.14","2551034","136.1","1204959","188.36","1667589","51.99","62","3.29","4139"
"KUL","PER","XX","2019","10","0.01","2.85","0.1",,"0","0.01","127.53","363","177.51","506","127.53","363","177.51","506","-0.01","0","3.08","4139"
"KUL","PER","D7","2019","11","40.49","9964.53","332.2","89.77","45.96","41.26","26.46","263677","27.16","270609","26.28","261909","26.84","267467","1.3","30","0.63","4141"
"KUL","PER","OD","2019","11","33.69","8292.48","276.4","79.22","43.35","34.34","156.55","1298188","224.54","1861960","122.92","1019323","176.35","1462412","33.14","60","2.97","4141"
"KUL","PER","MH","2019","11","25.82","6354.69","211.8","54.54","48.24","26.31","293.65","1866058","385.1","2447184","204.79","1301379","257.17","1634221","55.86","49","4.95","4141"
"KUL","PER","D7","2019","12","48.22","11628.99","375.1","65.47","73.54","48.15","35.19","409253","37.28","433555","34.37","399689","35.7","415121","3.15","48","0.83","4141"
"KUL","PER","OD","2019","12","28","6753.37","217.9","62.48","44.75","27.96","209.97","1418031","276.42","1866756","156.44","1056505","207.38","1400531","37.72","62","3.78","4141"
"KUL","PER","MH","2019","12","23.76","5731.18","184.9","46.15","51.42","23.73","377.43","2163109","485.51","2782558","222.43","1274810","274.95","1575775","65.96","53","5.37","4141"
"KUL","PER","MI","2019","12","0.01","1.5","0",,"0","0.01","162.67","244","197.63","296","45.7","69","55.52","83","100","0","1.1","4141"
"KUL","PER","XX","2019","12","0","1.17","0",,"0","0","194.01","227","241.6","283","194.01","227","241.6","283","0.39","0","4.69","4141"
